Freq.	V(vo)
1.52756605823806e+000	(-4.82917660265340e+001dB,9.64260666660891e+001°)
1.53108746168202e+000	(-4.82714883653430e+001dB,9.64097838409823e+001°)
1.53461698279928e+000	(-4.82512119693630e+001dB,9.63935336794618e+001°)
1.53815464030302e+000	(-4.82309368329745e+001dB,9.63773161043129e+001°)
1.54170045294954e+000	(-4.82106629505826e+001dB,9.63611310384342e+001°)
1.54525443953840e+000	(-4.81903903166165e+001dB,9.63449784048366e+001°)
1.54881661891247e+000	(-4.81701189255305e+001dB,9.63288581266445e+001°)
1.55238700995807e+000	(-4.81498487718018e+001dB,9.63127701270945e+001°)
1.55596563160506e+000	(-4.81295798499330e+001dB,9.62967143295365e+001°)
1.55955250282694e+000	(-4.81093121544501e+001dB,9.62806906574333e+001°)
1.56314764264094e+000	(-4.80890456799033e+001dB,9.62646990343602e+001°)
1.56675107010813e+000	(-4.80687804208667e+001dB,9.62487393840058e+001°)
1.57036280433354e+000	(-4.80485163719377e+001dB,9.62328116301706e+001°)
1.57398286446620e+000	(-4.80282535277378e+001dB,9.62169156967685e+001°)
1.57761126969933e+000	(-4.80079918829118e+001dB,9.62010515078259e+001°)
1.58124803927037e+000	(-4.79877314321283e+001dB,9.61852189874819e+001°)
1.58489319246110e+000	(-4.79674721700789e+001dB,9.61694180599880e+001°)
1.58854674859776e+000	(-4.79472140914786e+001dB,9.61536486497088e+001°)
1.59220872705115e+000	(-4.79269571910655e+001dB,9.61379106811205e+001°)
1.59587914723672e+000	(-4.79067014636011e+001dB,9.61222040788129e+001°)
1.59955802861465e+000	(-4.78864469038697e+001dB,9.61065287674877e+001°)
1.60324539069002e+000	(-4.78661935066781e+001dB,9.60908846719588e+001°)
1.60694125301286e+000	(-4.78459412668565e+001dB,9.60752717171530e+001°)
1.61064563517825e+000	(-4.78256901792575e+001dB,9.60596898281089e+001°)
1.61435855682647e+000	(-4.78054402387562e+001dB,9.60441389299775e+001°)
1.61808003764305e+000	(-4.77851914402507e+001dB,9.60286189480226e+001°)
1.62181009735891e+000	(-4.77649437786612e+001dB,9.60131298076195e+001°)
1.62554875575047e+000	(-4.77446972489299e+001dB,9.59976714342557e+001°)
1.62929603263970e+000	(-4.77244518460221e+001dB,9.59822437535311e+001°)
1.63305194789432e+000	(-4.77042075649243e+001dB,9.59668466911569e+001°)
1.63681652142779e+000	(-4.76839644006459e+001dB,9.59514801729572e+001°)
1.64058977319952e+000	(-4.76637223482177e+001dB,9.59361441248674e+001°)
1.64437172321491e+000	(-4.76434814026925e+001dB,9.59208384729345e+001°)
1.64816239152549e+000	(-4.76232415591452e+001dB,9.59055631433179e+001°)
