Freq.	V(vo)/V(vi)
2.04173794466950e+000	(-4.56997886205783e+001dB,8.95216630606320e+001°)
2.04644463672464e+000	(-4.56797900177281e+001dB,8.95205604315186e+001°)
2.05116217882553e+000	(-4.56597914213263e+001dB,8.95194552609389e+001°)
2.05589059598411e+000	(-4.56397928314030e+001dB,8.95183475430368e+001°)
2.06062991326997e+000	(-4.56197942479876e+001dB,8.95172372719425e+001°)
2.06538015581050e+000	(-4.55997956711106e+001dB,8.95161244417728e+001°)
2.07014134879101e+000	(-4.55797971008018e+001dB,8.95150090466310e+001°)
2.07491351745488e+000	(-4.55597985370917e+001dB,8.95138910806067e+001°)
2.07969668710366e+000	(-4.55397999800110e+001dB,8.95127705377760e+001°)
2.08449088309726e+000	(-4.55198014295897e+001dB,8.95116474122013e+001°)
2.08929613085401e+000	(-4.54998028858591e+001dB,8.95105216979313e+001°)
2.09411245585086e+000	(-4.54798043488497e+001dB,8.95093933890012e+001°)
2.09893988362349e+000	(-4.54598058185926e+001dB,8.95082624794322e+001°)
2.10377843976644e+000	(-4.54398072951193e+001dB,8.95071289632319e+001°)
2.10862814993326e+000	(-4.54198087784605e+001dB,8.95059928343941e+001°)
2.11348903983661e+000	(-4.53998102686480e+001dB,8.95048540868987e+001°)
2.11836113524847e+000	(-4.53798117657136e+001dB,8.95037127147116e+001°)
2.12324446200018e+000	(-4.53598132696888e+001dB,8.95025687117853e+001°)
2.12813904598268e+000	(-4.53398147806052e+001dB,8.95014220720578e+001°)
2.13304491314654e+000	(-4.53198162984955e+001dB,8.95002727894535e+001°)
2.13796208950220e+000	(-4.52998178233915e+001dB,8.94991208578827e+001°)
2.14289060112002e+000	(-4.52798193553254e+001dB,8.94979662712418e+001°)
2.14783047413050e+000	(-4.52598208943299e+001dB,8.94968090234129e+001°)
2.15278173472434e+000	(-4.52398224404376e+001dB,8.94956491082642e+001°)
2.15774440915263e+000	(-4.52198239936813e+001dB,8.94944865196499e+001°)
