Bode taken on 20092019-142930
0 points could not be taken due to noise in the signal.
Obtained data is as follows:
['Frequency', 'Vpp 1', 'Vpp 2', 'Phase', 'Ratio', 'Slope']
[1702.7691722258996, 2.055, 1.1349999999999998, 10.5, -5.156319293658932, 0.0]
[1825.1834943190424, 2.0549999999999997, 1.1433333333333333, 10.0, -5.092779217779598, 0.0005190575317730156]
[1956.3983435170628, 2.0533333333333332, 1.14, 9.0, -5.111092122165809, -0.00013956426805455965]
[2097.0464013232327, 2.055, 1.14, 9.0, -5.118139497512311, -5.010645334479914e-05]
[2247.8058335487253, 2.0500000000000003, 1.1424999999999998, 8.222222222222221, -5.077953046277331, 0.00026656011263608427]
[2409.4035602395243, 2.0500000000000003, 1.1483333333333334, 8.117647058823529, -5.033717790635443, 0.0002737368683813746]
[2582.6187606826747, 2.0500000000000003, 1.148, 6.035714285714286, -5.036239459875994, -1.4558013581373041e-05]
[2768.2866303920637, 2.043333333333333, 1.1425, 6.85, -5.0496602211372945, -7.228370359560139e-05]
[2967.3024081888693, 2.046666666666667, 1.1500000000000001, 4.714285714285714, -5.006985521357871, 0.00021442872646506612]
[3180.625692794119, 2.056666666666667, 1.1566666666666667, 4.666666666666667, -4.999113784847361, 3.690050303264635e-05]
[3409.285069746811, 2.06, 1.1549999999999998, 3.8846153846153846, -5.025704722819809, -0.00011629060800751367]
[3654.3830709572544, 2.0483333333333333, 1.155, 3.8461538461538463, -4.9763729654929465, 0.00020127360110336212]
[3917.1014908092566, 2.0533333333333332, 1.166, 3.6153846153846154, -4.915218140435355, 0.0002327770739944378]
[4198.70708444391, 2.0500000000000003, 1.155, 2.8214285714285716, -4.983437536551825, -0.0002422515662276763]
[4500.557675700497, 2.055, 1.1566666666666665, 2.7857142857142856, -4.992072122817536, -2.8605497275211705e-05]
[4824.108704165369, 2.046666666666667, 1.1516666666666664, 2.8275862068965516, -4.994406388619012, -7.214521346297172e-06]
[5170.920242896756, 2.045, 1.16, 2.0, -4.924706462328843, 0.0002009734928230089]
[5542.664520663102, 2.0366666666666666, 1.1533333333333333, 1.903225806451613, -4.939302228995553, -3.9262922228176195e-05]
[5941.133984965034, 2.0549999999999997, 1.16, 1.8666666666666667, -4.96707673970339, -6.970298403290273e-05]
[6368.249944718586, 2.0483333333333333, 1.16, 1.6129032258064515, -4.938852865517841, 6.608012072841714e-05]
[6826.071834272386, 2.0416666666666665, 1.16, 1.2580645161290323, -4.910536981799782, 6.184912596830165e-05]
[7316.807143427192, 2.05, 1.1533333333333333, 1.2666666666666666, -4.995980339652802, -0.0001741129204665931]
[7842.822061337682, 2.046666666666667, 1.1616666666666666, 0.9655172413793104, -4.91931177414279, 0.00014575359538198193]
[8406.652885618325, 2.045, 1.166, 1.0714285714285714, -4.879895238407307, 6.990844423196046e-05]
[9011.018251665018, 2.0466666666666664, 1.16, 0.967741935483871, -4.931782543891735, -8.585420078558874e-05]
[9658.832241158698, 2.0366666666666666, 1.1600000000000001, 0.2, -4.889239325919466, 6.56719655059008e-05]
[10353.218432956615, 2.043333333333333, 1.1633333333333333, 0.8181818181818182, -4.8927009511847, -4.98515855603503e-06]
[11097.524964120721, 2.0399999999999996, 1.155, -0.25, -4.940963663954711, -6.484252219918965e-05]
[11895.340673703207, 2.0433333333333334, 1.1533333333333333, 0.0, -4.967687514512769, -3.349627017503003e-05]
[12750.512407130129, 2.0399999999999996, 1.16, 0.1724137931034483, -4.903443563979605, 7.512403418167283e-05]
[13667.163564620045, 2.03, 1.156, 0.0, -4.890764076574053, 1.3832402110604755e-05]
[14649.713983072848, 2.0399999999999996, 1.15, 0.13333333333333333, -4.97864654144574, -8.944321148432627e-05]
[15702.901247293776, 2.0366666666666666, 1.1675, -0.19230769230769232, -4.83326132569484, 0.00013804308188102284]
